Enabled,Count,RoleName,Alignment,Color,RoleType,Image,Abilities

0,0,Admirer,Town,#00AA00,"Investigative",ring-box.png,"You may propose to a player once each day. If they accept, the day ends and both of your roles are revealed by the gamemeaster and you become lovers (you win and die together)."
1,1,Artist,Town,#00AA00,"Investigative",fishing-pole.png,"Once per game, you may privately ask the gamemaster a yes/no question."
0,0,Bartender,Town,#00AA00,"Investigative",martini.png,"Each night, choose a living player. At the end of the night, you are told whether their power worked (or would have worked) this night (thumbs up) or not (thumbs down)."
1,1,Believer,Town,#00AA00,"Investigative",prayer.png,"You have an (off-script) ability that you do not know. Each day, you may go to church to privately guess it. You learn how accurate you are."
1,1,Blessed,Town,#00AA00,"Protective",holy-water.png,"The first time you would die, instead don't. If the prevented death was due to an execution, the day still ends."
1,1,Bodyguard,Town,#00AA00,"Protective",edged-shield.png,"Each night, pick a player (yourself allowed). They cannot die tonight. You may not pick the same player twice in a row."
0,0,Cupid,Town,#00AA00,"Chaos",test.png,"On the first night, choose two players to be lovers. Their new goal is to stay alive together. If one lover dies, the other commits suicide at the beginning of the next night.\13\\13\A Tanner Lover no longer wants to die."
1,1,Cursed,Town*,#00AA00,"Team-changer",cursed-star.png,"If you would be killed by werewolves, instead become a Werewolf and join their team. (You will wake with them on the following night)."
1,1,Drunk,Town,#00AA00,"Deceptive",beer-stein.png,"You think you are another Town role, but you are not. The power you think you have doesn't work (and info you get may be wrong)."
1,1,Empath,Town,#00AA00,"Investigative",cheerful2.png,"Each night, after players are killed, learn how many of your living neighbors are Evil/Werewolf."
1,1,Escort,Town,#00AA00,"Support",lipstick.png,"Each night, pick someone to seduce. Their power doesn't work tonight (as if drunk - other werewolves still get to hunt)."
1,1,Grandmother,Town,#00AA00,"Investigative",cane.png,"You have a grandchild (player who is Town at start of game, gamemaster's choice) and know who, but not their role.\13\If your grandchild dies and is still Town, you die too."
0,0,Insomniac,Town,#00AA00,"Investigative",person-in-bed2.png,"At the end of each night, learn how many of your living neighbors chose to visit someone."
1,2,Mason,Town,#00AA00,"\91\REDACTED\93\ ",masons2.png,"First night, wake and get told who else (if any) registers as Mason.\13\Even if no Masons are in the game, noone may speak of, refer to, or insinuate their existence. Or else.."
0,0,Mayor,Town,#00AA00,"Support",public-speaker.png,"You may reveal at any time during the day. After revealing, your future votes count as 3, but you can no longer be protected or healed."
0,0,Medium,Town,#00AA00,"Support",half-dead.png,"Each night, chose a dead player. They are woken up to see who you are."
1,1,Psychic,Town,#00AA00,"Investigative",psychic-waves.png,"First night, you are shown a role that some player has."
1,1,Recluse,Town,#00AA00,"Deceptive",bindle.png,"You might register as any non-Town role at any time, even when dead (gamemaster chooses each time)."
1,1,Retributionist,Town,#00AA00,"Support",freedom-dove2.png,"One night per game, choose a dead player. They are revived at the end of the night and regain their power(s)."
0,0,Saint,Town,#00AA00,"Chaos",wings.png,"If you are executed, all players on your team lose. (Non-Town keep playing.)"
1,1,Seer,Town,#00AA00,"Investigative",crystal-ball2.png,"Each night, pick a player to know whether they register as a Werewolf (W with hands) or not (X with arms)."
1,1,Sheriff,Town,#00AA00,"Investigative",law-star2.png,"Each night, pick a player to know whether they register as Town/Neutral (thumbs up) or Evil/Werewolf (thumbs down)."
1,1,Slayer,Town,#00AA00,"Investigative, Killing",crossbow.png,"First time you stand up, point at a player, and publicly say 'I slay' followed by their name: If they register as Evil/Werewolf, they die and the day ends immediately."
0,0,Spiteful Villager,Town*,#00AA00,"Team-changer",fist.png,"If you are executed, you are no longer Town and instead join the Werewolf team. The wolves will know. You won't wake with them."
0,0,Tracker,Town,#00AA00,"Investigative",footsteps2.png,"Each night choose a player. You will know one player they visit (if any)."
1,1,Undertaker,Town,#00AA00,"Investigative",shovel.png,"Each night, if a player died during the day, you learn their role."
0,0,Veteran,Town,#00AA00,"Protective, Killing",star-medal.png,"You can alert 3 nights. While on alert, you cannot die and kill everyone before they visit you (even if they could not die otherwise)."
0,0,Witch,Town,#00AA00,"Protective, Killing",pointy-hat.png,"You have 1 health potion and 1 killing potion, each usable once. While you have your health potion, the gamemaster will point at player(s) who died tonight. You may heal one (thumbs up and point), and/or kill someone (point)."
1,1,Wolfsbane Merchant,Town,#00AA00,"Protective",evil-bud.png,"You cannot die to werewolves. Ritual Wolf dies (and not you) if they try to guess your role."


1,1,Amnesiac,Neutral,#555555,"Team-changer",amne.png,"One night per game, remember (copy) a chosen dead player's team and role. Before remembering, you can't win. Everyone will know remembered role."
1,1,Guardian Angel,Neutral,#555555,"Protective",ga.png,"Keep your target alive to win. Two nights per game (even when dead), protect target for current night and next day.\13\Everyone will know who was protected."
0,0,Pirate,Neutral,#555555,"Killing",pirate-flag.png,"Each night, choose a player to duel. You may not pick the same player twice in a row. Instead of waking normally, they anonymously play Rock Paper Scissors against you. If you beat them, they die (even if they could not otherwise). If they win/tie, they survive. You need to kill twice to win."
1,1,Survivor,Neutral,#555555,"Protective",kevlar-vest.png,"While alive, you can win with any team (not the Tanner). You cannot be killed at night."


1,2,Arsonist,"Evil (Arsonist)",#EE7600,"Killing",match-head2.png,"You cannot die at night. Each night, douse a player OR point at yourself to ignite all doused players, killing them (even if they could not die otherwise)"
0,0,Doomsayer,Evil,#B050F0,"Killing",test.png,"You cannot die at night and do not visit.\13\Each night, guess a players role. If you guess correctly, they are doomed. When three players are doomed, they die (even if they could not otherwise)."
0,0,Mime,Evil,#000000,"Killing",mime.png,"Each night, you may choose a player to be silenced until you die.\13\When ALL other players are silenced, you win and everyone else loses."
0,0,Serial Killer,Evil,#000099,"Killing",machete.png,"You may kill one player each night*.\13\You cannot die at night."
1,1,Tanner,Evil,#800080,"Chaos",slipknot2.png,"If you are executed or slain by the Slayer, you win and everyone else loses.\13\You cannot win otherwise."
1,1,Vampire,"Evil (Vampire)",#000000,"Chaos",fangs.png,"Every third night (starting with 1st), vampires bite a player. Bitten Evil/Werewolves are killed, others are converted into a vampire."


0,0,Chaos Wolf,Solo Werewolf,#AA0000,"Deceptive, Killing",misdirection.png,"You start the game by being the only werewolf.\13\Others might join you later, such as the Cursed.\13\\13\All Town Investigative powers give false info (about everything)."
1,1,Framer Wolf,Werewolf,#AA0000,"Deceptive, Killing",suspicious.png,"Each night, frame a living player for the current night and next day. While framed, they register as any Evil/Werewolf role (gamemaster chooses each time)."
1,1,HypnoWolf,Werewolf,#AA0000,"Deceptive, Killing",hypno.png,"Each night, hypnotize a living player tonight and next day. A hypnotized Town Investigative's power does not work (as if they were drunk)."
1,1,Psychic Wolf,Werewolf,#AA0000,"Investigative, Killing",beast-eye.png,"First night, you are shown 3 roles that are not in the game."
1,1,Ritual Wolf,Werewolf,#AA0000,"Killing",heptagram.png,"Each night, you may guess a player's role. If correct, they die (even if they couldn't otherwise). If wrong, you die."
1,1,Spellcaster Wolf,Werewolf,#AA0000,"Support, Killing",silenced.png,"Each night, you may choose a player to be silenced until you die. Hint: A Slayer that can't speak is a lot less scary."
0,0,Werewolf,Werewolf,#AA0000,"Killing",werewolf2.png,"Each night*, wake with other werewolves to hunt (kill a player).\13\Only one werewolf visits the target (gamemaster chooses)","Each night, wake with other werewolves to hunt (kill a player)."
1,1,Wolf Man,Werewolf,#AA0000,"Deceptive, Killing",troll.png,"You register as any Town/Neutral role at all times, even when dead (gamemaster chooses each time)."
